,Unnamed: 0,hostel_name,hostel_link,city,price,distance,summary_score,rating_band,value_for_money,security,location,staff,atmosphere,cleanliness,facilities,Free,General,Services,Food & Drink,Entertainment,latitude,longitude
16,16,Obi Hostel,https://www.hostelworld.com/hosteldetails.php/Obi-Hostel/Tokyo/274874,Tokyo,16.41,8.2,7.9,Very good,8.0,8.0,8.0,9.0,7.0,8.0,7.0,"['Free WiFi', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Fitness Centre', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Security Lockers', 'Utensils', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Postal Service', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant']",['Wi-Fi'],35.6927,139.78284
17,17,Time Sharing Stay Asakusa,https://www.hostelworld.com/hosteldetails.php/Time-Sharing-Stay-Asakusa/Tokyo/307387,Tokyo,13.13,9.8,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,"['Free Internet Access', 'Free WiFi']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Cooker', 'Dryer', 'Hair Dryers', 'Hot Showers', 'Security Lockers']","['Bicycle Hire', 'Internet Access', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.71435,139.79189
18,18,Almond hostel & cafe Shibuya,https://www.hostelworld.com/hosteldetails.php/Almond-hostel-and-cafe-Shibuya/Tokyo/278423,Tokyo,1.64,2.2,8.6,Fabulous,8.7,8.7,10.0,8.7,7.3,8.0,8.7,"['Free City Maps', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Ceiling Fan', 'Common Room', 'Dryer', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Towels Not Included', 'Washing Machine']","['24 Hour Security', 'Housekeeping', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Reception (limited hours)']","['Bar', 'Cafe']",['Wi-Fi'],35.66997,139.68751
19,19,The Wardrobe Hostel Forest Shimokitazawa,https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Forest-Shimokitazawa/Tokyo/296731,Tokyo,22.97,3.8,9.1,Superb,10.0,10.0,10.0,6.0,10.0,10.0,8.0,"['Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Hair Dryers', 'Hot Showers']",,,['Wi-Fi'],35.66099,139.66819
20,20,Sakura Hotel Jimbocho,https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Jimbocho/Tokyo/4662,Tokyo,17.64,5.9,9.4,Superb,10.0,9.0,10.0,10.0,9.0,9.0,9.0,"['Free Breakfast', 'Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Card Phones', 'Dryer', 'Elevator', 'Flexible NRR', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Key Card Access', 'Outdoor Terrace', 'Towels Not Included']","['24 Hour Reception', '24 Hour Security', 'Fax Service', 'Internet Access', 'Internet café', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Reception (limited hours)', 'Tours/Travel Desk', 'Towels for hire', 'Wake-up calls']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wi-Fi'],35.69496,139.75643
21,21,&And Hostel Akihabara,https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Akihabara/Tokyo/283418,Tokyo,15.18,7.8,8.5,Fabulous,9.5,9.5,10.0,8.5,7.5,7.0,7.5,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Self-Catering Facilities', 'Towels Not Included']","['Housekeeping', 'Reception (limited hours)', 'Towels for hire']",,['Wi-Fi'],35.69732,139.77971
22,22,Khaosan World Ryogoku Hostel,https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Ryogoku-Hostel/Tokyo/275477,Tokyo,18.87,9.5,9.9,Superb,10.0,9.0,10.0,10.0,10.0,10.0,10.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Security Lockers', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.69428,139.79676
23,23,Sakura Hotel Ikebukuro,https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Ikebukuro/Tokyo/22747,Tokyo,19.2,5.1,8.3,Fabulous,10.0,8.0,8.0,8.0,8.0,8.0,8.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Elevator', 'Hair Dryers For Hire', 'Reading Light', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Reception', '24 Hour Security', 'Fax Service', 'Internet Access', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Vending Machines']",,35.73355,139.70885
24,24,Khaosan Tokyo Laboratory,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Laboratory/Tokyo/74311,Tokyo,21.33,9.3,7.7,Very good,10.0,8.0,10.0,4.0,6.0,8.0,8.0,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']",['Tea & Coffee Making Facilities'],"['Board Games', 'PlayStation', 'Wi-Fi']",35.71183,139.79129
25,25,TOKYO-W-INN Asakusa,https://www.hostelworld.com/hosteldetails.php/TOKYO-W-INN-Asakusa/Tokyo/295276,Tokyo,14.69,9.3,9.2,Superb,9.3,9.3,9.3,10.0,8.7,9.3,8.7,"['Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Cable TV', 'Ceiling Fan', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Hot Tub', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['24 Hour Reception', 'Express check-in / out', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Bar', 'Restaurant', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wi-Fi'],35.70831,139.79229
